Date,Adani Enterprises,BEL,BHEL,HCL,HUL,ITC,SPYL,Tata Steel,VUSA
2023-10-03,2387.25,139.199997,131.149994,160.899994,2468.899902,439.75,421.589996,128.0,73.870003
2023-10-04,2464.949951,138.850006,127.550003,155.850006,2507.850098,436.100006,424.660004,125.300003,73.699997
2023-10-05,2466.350098,138.949997,127.400002,153.800003,2519.550049,436.049988,424.5,125.25,73.410004
2023-10-06,2478.100098,139.0,128.899994,154.850006,2499.399902,442.149994,429.540009,125.900002,73.68
2023-10-09,2442.600098,135.75,126.449997,148.850006,2511.300049,440.450012,432.290009,123.849998,73.82
2023-10-10,2498.300049,139.949997,131.199997,154.800003,2516.199951,444.399994,434.540009,125.300003,74.989998
2023-10-11,2488.600098,137.75,130.850006,153.850006,2556.399902,448.25,436.320007,124.949997,74.550003
2023-10-12,2506.350098,138.199997,130.649994,157.399994,2557.0,450.700012,433.660004,125.900002,75.199997
2023-10-13,2454.550049,137.449997,128.350006,157.050003,2569.449951,448.350006,431.5,125.050003,74.220001
2023-10-16,2429.350098,137.399994,131.149994,160.149994,2558.300049,448.950012,436.040009,127.0,74.82
2023-10-17,2428.399902,138.550003,132.449997,158.449997,2556.149902,453.450012,436.019989,127.400002,74.559998
2023-10-18,2406.350098,137.050003,129.199997,154.75,2548.25,451.649994,430.209991,127.099998,73.879997
2023-10-19,2402.199951,137.0,129.199997,157.100006,2548.100098,450.399994,426.429993,126.0,73.230003
2023-10-20,2393.75,134.199997,125.199997,154.0,2495.149902,438.299988,421.190002,123.099998,71.57
2023-10-23,2308.649902,132.699997,117.75,142.100006,2483.5,435.899994,420.459991,120.0,71.410004
2023-10-24,,,,,,,423.630005,,72.099998
2023-10-25,2257.0,131.199997,116.300003,141.149994,2477.300049,432.700012,417.549988,121.349998,71.639999
2023-10-26,2203.199951,128.850006,117.849998,140.899994,2476.399902,434.350006,412.549988,119.900002,70.800003
2023-10-27,2261.699951,132.199997,117.650002,140.649994,2482.050049,433.75,410.679993,119.900002,70.790001
2023-10-30,2299.100098,131.949997,120.699997,143.5,2478.899902,430.450012,415.589996,119.150002,70.970001
2023-10-31,2294.649902,133.25,120.849998,143.199997,2484.0,428.399994,418.200012,118.75,71.980003
2023-11-01,2217.300049,132.399994,121.550003,140.800003,2472.25,428.100006,422.660004,116.599998,72.800003
2023-11-02,2215.300049,134.75,128.050003,145.699997,2486.800049,431.149994,430.76001,118.099998,73.75
2023-11-03,2229.850098,135.949997,128.600006,145.25,2509.25,433.25,434.690002,117.300003,74.360001
